655 - Local Param 04,id,original,status,updated_term,extraneous_text,confidence,error
Armorial bookplates (Provenance) rbprov MMeT,207,Armorial bookplates (Provenance) rbprov MMeT,,Armorial bookplates,"(Provenance), rbprov, MMeT",0.92,
Armorial bookplates (Provenance). rbprov MMeT,208,Armorial bookplates (Provenance). rbprov MMeT,,Armorial bookplates,"(Provenance), rbprov, MMeT",0.92,
Armorial bookplates rbmscv,209,Armorial bookplates rbmscv,,Armorial bookplates,rbmscv,1.0,
Armorial bookplates. rbmscv GEU,210,Armorial bookplates. rbmscv GEU,,Armorial bookplates,"rbmscv, GEU",0.9,
Armorial bookplates. rbmscv MMeT,211,Armorial bookplates. rbmscv MMeT,,Armorial bookplates,"rbmscv, MMeT",0.9,
Armorial stamps (Provenance) Italy. rbprov MMeT,212,Armorial stamps (Provenance) Italy. rbprov MMeT,,Armorial stamps,"(Provenance) Italy, rbprov, MMeT",0.88,
Armorial stamps (Provenance) rbprov MMeT,213,Armorial stamps (Provenance) rbprov MMeT,,Armorial stamps,"(Provenance), rbprov, MMeT",0.92,
Armorial stamps (Provenance). rbprov,214,Armorial stamps (Provenance). rbprov,,Armorial stamps,"(Provenance), rbprov",0.92,
Artisits' books 2000-2009. rbgenr,215,Artisits' books 2000-2009. rbgenr,,Artists' books,"2000-2009, rbgenr",0.7,typo in original (Artisits')
Artists' autographs (Provenance) Gardner 2011. rbprov,216,Artists' autographs (Provenance) Gardner 2011. rbprov,,Authors' autographs,"(Provenance) Gardner 2011, rbprov",0.85,
Artists' autographs (Provenance) Knudson 2013. rbprov,217,Artists' autographs (Provenance) Knudson 2013. rbprov,,Authors' autographs,"(Provenance) Knudson 2013, rbprov",0.85,
Artists' autographs (Provenance) Ledeker 2007. rbprov,218,Artists' autographs (Provenance) Ledeker 2007. rbprov,,Authors' autographs,"(Provenance) Ledeker 2007, rbprov",0.85,
Artists' autographs (Provenance) Russelle 2011. rbprov,219,Artists' autographs (Provenance) Russelle 2011. rbprov,,Authors' autographs,"(Provenance) Russelle 2011, rbprov",0.85,
Artists' autographs (Provenance) Samson-Talleur 2007. rbprov,220,Artists' autographs (Provenance) Samson-Talleur 2007. rbprov,,Authors' autographs,"(Provenance) Samson-Talleur 2007, rbprov",0.85,
Artists' books (Binding) rbbin,221,Artists' books (Binding) rbbin,,Artists' books,"(Binding), rbbin",1.0,
Artists' books 1966. rbgenr,222,Artists' books 1966. rbgenr,,Artists' books,"1966, rbgenr",0.88,
Artists' books 1974. rbgenr,223,Artists' books 1974. rbgenr,,Artists' books,"1974, rbgenr",0.88,
Artists' books 1975. rbgenr,224,Artists' books 1975. rbgenr,,Artists' books,"1975, rbgenr",0.88,
Artists' books 1977. rbgenr,225,Artists' books 1977. rbgenr,,Artists' books,"1977, rbgenr",0.88,
Artists' books 1981. rbgenr,226,Artists' books 1981. rbgenr,,Artists' books,"1981, rbgenr",0.88,
Artists' books 1983. rbgenr,227,Artists' books 1983. rbgenr,,Artists' books,"1983, rbgenr",0.88,
Artists' books 1985. rbgenr,228,Artists' books 1985. rbgenr,,Artists' books,"1985, rbgenr",0.88,
Artists' books 1987. rbmscv,229,Artists' books 1987. rbmscv,,Artists' books,"1987, rbmscv",0.88,
Artists' books 1988. rbgenr,230,Artists' books 1988. rbgenr,,Artists' books,"1988, rbgenr",0.88,
Artists' books 1989. rbgenr,231,Artists' books 1989. rbgenr,,Artists' books,"1989, rbgenr",0.88,
Artists' books 1991. rbgenr,232,Artists' books 1991. rbgenr,,Artists' books,"1991, rbgenr",0.88,
Artists' books 1992. rbgenr,233,Artists' books 1992. rbgenr,,Artists' books,"1992, rbgenr",0.88,
Artists' books 1993. rbgenr,234,Artists' books 1993. rbgenr,,Artists' books,"1993, rbgenr",0.88,
Artists' books 1994. rbgenr,235,Artists' books 1994. rbgenr,,Artists' books,"1994, rbgenr",0.88,
Artists' books 1995. rbgenr,236,Artists' books 1995. rbgenr,,Artists' books,"1995, rbgenr",0.88,
Artists' books 1998. rbgenr,237,Artists' books 1998. rbgenr,,Artists' books,"1998, rbgenr",0.88,
Artists' books 1998. rbmscv,238,Artists' books 1998. rbmscv,,Artists' books,"1998, rbmscv",0.88,
Artists' books 2000-2009. rbgenr,239,Artists' books 2000-2009. rbgenr,,Artists' books,"2000-2009, rbgenr",0.9,
Artists' books 2002. rbgenr,240,Artists' books 2002. rbgenr,,Artists' books,"2002, rbgenr",0.88,
Artists' books 2003. rbgenr,241,Artists' books 2003. rbgenr,,Artists' books,"2003, rbgenr",0.88,
Artists' books 2004. rbgenr,242,Artists' books 2004. rbgenr,,Artists' books,"2004, rbgenr",0.88,
Artists' books 2005. rbgenr,243,Artists' books 2005. rbgenr,,Artists' books,"2005, rbgenr",0.88,
Artists' books 2006. rbgenr,244,Artists' books 2006. rbgenr,,Artists' books,"2006, rbgenr",0.88,
Artists' books 2007. rbgenr,245,Artists' books 2007. rbgenr,,Artists' books,"2007, rbgenr",0.88,
Artists' books 2008. rbgenr,246,Artists' books 2008. rbgenr,,Artists' books,"2008, rbgenr",0.88,
Artists' books 2009. rbgenr,247,Artists' books 2009. rbgenr,,Artists' books,"2009, rbgenr",0.88,
Artists' books 2010. rbgenr,248,Artists' books 2010. rbgenr,,Artists' books,"2010, rbgenr",0.88,
Artists' books 2010-2019. rbgenr,249,Artists' books 2010-2019. rbgenr,,Artists' books,"2010-2019, rbgenr",0.88,
Artists' books 2011. rbgenr,250,Artists' books 2011. rbgenr,,Artists' books,"2011, rbgenr",0.88,
Artists' books 2012. rbgenr,251,Artists' books 2012. rbgenr,,Artists' books,"2012, rbgenr",0.88,
Artists' books 2013. rbgenr,252,Artists' books 2013. rbgenr,,Artists' books,"2013, rbgenr",0.88,
Artists' books 2014. rbgenr,253,Artists' books 2014. rbgenr,,Artists' books,"2014, rbgenr",0.88,
Artists' books 2014. rbmscv,254,Artists' books 2014. rbmscv,,Artists' books,"2014, rbmscv",0.88,
Artists' books 2015. rbgenr,255,Artists' books 2015. rbgenr,,Artists' books,"2015, rbgenr",0.88,
Artists' books 2016. rbgenr,256,Artists' books 2016. rbgenr,,Artists' books,"2016, rbgenr",0.88,
Artists' books 2017. rbgenr,257,Artists' books 2017. rbgenr,,Artists' books,"2017, rbgenr",0.88,
Artists' books 2018. rbgenr,258,Artists' books 2018. rbgenr,,Artists' books,"2018, rbgenr",0.88,
Artists' books 2019. rbgenr,259,Artists' books 2019. rbgenr,,Artists' books,"2019, rbgenr",0.88,
Artists' books 2020. rbgenr,260,Artists' books 2020. rbgenr,,Artists' books,"2020, rbgenr",0.88,
Artists' books 2021. rbgenr,261,Artists' books 2021. rbgenr,,Artists' books,"2021, rbgenr",0.88,
Artists' books 2022. rbgenr,262,Artists' books 2022. rbgenr,,Artists' books,"2022, rbgenr",0.88,
Artists' books 20th century. rbgenr,263,Artists' books 20th century. rbgenr,,Artists' books,"20th century, rbgenr",0.88,
Artists' books 21st century. rbgenr,264,Artists' books 21st century. rbgenr,,Artists' books,"21st century, rbgenr",0.88,
Artists' books Alabama 21st century. rbgenr,265,Artists' books Alabama 21st century. rbgenr,,Artists' books,"Alabama 21st century, rbgenr",0.88,
Artists' books Alabama Tuscaloosa 2013. rbgenr,266,Artists' books Alabama Tuscaloosa 2013. rbgenr,,Artists' books,"Alabama Tuscaloosa 2013, rbgenr",0.88,
Artists' books Alabama Tuscaloosa 2021. rbgenr,267,Artists' books Alabama Tuscaloosa 2021. rbgenr,,Artists' books,"Alabama Tuscaloosa 2021, rbgenr",0.88,
Artists' books Alabama. rbgenr,268,Artists' books Alabama. rbgenr,,Artists' books,"Alabama, rbgenr",0.88,
Artists' books Alberta 21st century. rbgenr,269,Artists' books Alberta 21st century. rbgenr,,Artists' books,"Alberta 21st century, rbgenr",0.88,
Artists' books Arizona Tucson 20102. rbgenr,270,Artists' books Arizona Tucson 20102. rbgenr,,Artists' books,"Arizona Tucson 20102, rbgenr",0.6,possible typo in year (20102)
Artists' books Australia 2012. rbgenr,271,Artists' books Australia 2012. rbgenr,,Artists' books,"Australia 2012, rbgenr",0.88,
Artists' books Belgium 20th century. rbgenr,272,Artists' books Belgium 20th century. rbgenr,,Artists' books,"Belgium 20th century, rbgenr",0.88,
Artists' books Belgium 21st century. rbgenr,273,Artists' books Belgium 21st century. rbgenr,,Artists' books,"Belgium 21st century, rbgenr",0.88,
Artists' books Belgium Charleroi 2008. rbgenr,274,Artists' books Belgium Charleroi 2008. rbgenr,,Artists' books,"Belgium Charleroi 2008, rbgenr",0.88,
Artists' books Belgium Charleroi 2011. rbgenr,275,Artists' books Belgium Charleroi 2011. rbgenr,,Artists' books,"Belgium Charleroi 2011, rbgenr",0.88,
Artists' books Belgium Charleroi 2017. rbgenr,276,Artists' books Belgium Charleroi 2017. rbgenr,,Artists' books,"Belgium Charleroi 2017, rbgenr",0.88,
Artists' books Brazil 2016 rbgenr,277,Artists' books Brazil 2016 rbgenr,,Artists' books,"Brazil 2016, rbgenr",0.88,
Artists' books Brazil 2017. rbgenr,278,Artists' books Brazil 2017. rbgenr,,Artists' books,"Brazil 2017, rbgenr",0.88,
Artists' books Brazil 21st century. rbgenr,279,Artists' books Brazil 21st century. rbgenr,,Artists' books,"Brazil 21st century, rbgenr",0.88,
Artists' books California 1993. rbgenr,280,Artists' books California 1993. rbgenr,,Artists' books,"California 1993, rbgenr",0.88,
Artists' books California 2019. rbgenr,281,Artists' books California 2019. rbgenr,,Artists' books,"California 2019, rbgenr",0.88,
Artists' books California 20th century rbgenr,282,Artists' books California 20th century rbgenr,,Artists' books,"California 20th century, rbgenr",0.88,
Artists' books California 20th century. rbgenr,283,Artists' books California 20th century. rbgenr,,Artists' books,"California 20th century, rbgenr",0.88,
Artists' books California 21st century. rbgenr,284,Artists' books California 21st century. rbgenr,,Artists' books,"California 21st century, rbgenr",0.88,
Artists' books California Berkeley 2011. rbgenr,285,Artists' books California Berkeley 2011. rbgenr,,Artists' books,"California Berkeley 2011, rbgenr",0.88,
Artists' books California Berkeley 2012. rbgenr,286,Artists' books California Berkeley 2012. rbgenr,,Artists' books,"California Berkeley 2012, rbgenr",0.88,
Artists' books California Berkeley 2016. rbgenr,287,Artists' books California Berkeley 2016. rbgenr,,Artists' books,"California Berkeley 2016, rbgenr",0.88,
Artists' books California Berkeley 2018. rbgenr,288,Artists' books California Berkeley 2018. rbgenr,,Artists' books,"California Berkeley 2018, rbgenr",0.88,
Artists' books California Berkeley 2018. rbmscv,289,Artists' books California Berkeley 2018. rbmscv,,Artists' books,"California Berkeley 2018, rbmscv",0.88,
Artists' books California Berkeley 21st century. rbgenr,290,Artists' books California Berkeley 21st century. rbgenr,,Artists' books,"California Berkeley 21st century, rbgenr",0.88,
Artists' books California Berkeley. rbgenr,291,Artists' books California Berkeley. rbgenr,,Artists' books,"California Berkeley, rbgenr",0.88,
Artists' books California Garberville 2019. rbgenr,292,Artists' books California Garberville 2019. rbgenr,,Artists' books,"California Garberville 2019, rbgenr",0.88,
Artists' books California Hollywood 1971. rbgenr,293,Artists' books California Hollywood 1971. rbgenr,,Artists' books,"California Hollywood 1971, rbgenr",0.88,
Artists' books California Irvine 1975. rbgenr,294,Artists' books California Irvine 1975. rbgenr,,Artists' books,"California Irvine 1975, rbgenr",0.88,
Artists' books California Los Angeles 2011. rbgenr,295,Artists' books California Los Angeles 2011. rbgenr,,Artists' books,"California Los Angeles 2011, rbgenr",0.88,
Artists' books California Los Angeles 2012. rbgenr,296,Artists' books California Los Angeles 2012. rbgenr,,Artists' books,"California Los Angeles 2012, rbgenr",0.88,
Artists' books California Los Angeles 2014. rbgenr,297,Artists' books California Los Angeles 2014. rbgenr,,Artists' books,"California Los Angeles 2014, rbgenr",0.88,
Artists' books California Los Angeles 20th century. rbgenr,298,Artists' books California Los Angeles 20th century. rbgenr,,Artists' books,"California Los Angeles 20th century, rbgenr",0.88,
Artists' books California Oakland 2016. rbgenr,299,Artists' books California Oakland 2016. rbgenr,,Artists' books,"California Oakland 2016, rbgenr",0.88,
Artists' books California Oakland 21st century rbgenr,300,Artists' books California Oakland 21st century rbgenr,,Artists' books,"California Oakland 21st century, rbgenr",0.88,
Artists' books California Oakland 21st century. rbgenr,,,,,,,
Artists' books California Oakland. rbgenr,301,Artists' books California Oakland. rbgenr,,Artists' books,"California Oakland, rbgenr",0.88,
Artists' books California Pasadena 1995. rbgenr,302,Artists' books California Pasadena 1995. rbgenr,,Artists' books,"California Pasadena 1995, rbgenr",0.88,
Artists' books California Playa Vista 2010-2019. rbgenr,303,Artists' books California Playa Vista 2010-2019. rbgenr,,Artists' books,"California Playa Vista 2010-2019, rbgenr",0.88,
Artists' books California San Diego 2021. rbgenr,304,Artists' books California San Diego 2021. rbgenr,,Artists' books,"California San Diego 2021, rbgenr",0.88,
Artists' books California San Diego 2021. rbmscv,305,Artists' books California San Diego 2021. rbmscv,,Artists' books,"California San Diego 2021, rbmscv",0.88,
Artists' books California San Francisco 1997. rbgenr,306,Artists' books California San Francisco 1997. rbgenr,,Artists' books,"California San Francisco 1997, rbgenr",0.88,
Artists' books California San Francisco 2006. rbgenr,307,Artists' books California San Francisco 2006. rbgenr,,Artists' books,"California San Francisco 2006, rbgenr",0.88,
Artists' books California San Francisco 2015. rbgenr,308,Artists' books California San Francisco 2015. rbgenr,,Artists' books,"California San Francisco 2015, rbgenr",0.88,
Artists' books California San Francisco 2022. rbgenr,309,Artists' books California San Francisco 2022. rbgenr,,Artists' books,"California San Francisco 2022, rbgenr",0.88,
Artists' books California San Francisco 21st century. rbgenr,310,Artists' books California San Francisco 21st century. rbgenr,,Artists' books,"California San Francisco 21st century, rbgenr",0.88,
Artists' books California Santa Cruz 1984. rbgenr,311,Artists' books California Santa Cruz 1984. rbgenr,,Artists' books,"California Santa Cruz 1984, rbgenr",0.88,
Artists' books California Santa Cruz 1987. rbgenr,312,Artists' books California Santa Cruz 1987. rbgenr,,Artists' books,"California Santa Cruz 1987, rbgenr",0.88,
Artists' books California Santa Cruz 2000. rbgenr,313,Artists' books California Santa Cruz 2000. rbgenr,,Artists' books,"California Santa Cruz 2000, rbgenr",0.88,
Artists' books California Santa Cruz 2014. rbgenr,314,Artists' books California Santa Cruz 2014. rbgenr,,Artists' books,"California Santa Cruz 2014, rbgenr",0.88,
Artists' books California Santa Cruz 21st century. rbgenr,315,Artists' books California Santa Cruz 21st century. rbgenr,,Artists' books,"California Santa Cruz 21st century, rbgenr",0.88,
Artists' books California Santa Cruz. rbgenr,316,Artists' books California Santa Cruz. rbgenr,,Artists' books,"California Santa Cruz, rbgenr",0.88,
Artists' books California Santa Rosa 1990. rbgenr,317,Artists' books California Santa Rosa 1990. rbgenr,,Artists' books,"California Santa Rosa 1990, rbgenr",0.88,
Artists' books California Sebastopol. rbgenr,318,Artists' books California Sebastopol. rbgenr,,Artists' books,"California Sebastopol, rbgenr",0.88,
Artists' books California. rbgenr,319,Artists' books California. rbgenr,,Artists' books,"California, rbgenr",0.88,
Artists' books China 21st century. rbgenr,320,Artists' books China 21st century. rbgenr,,Artists' books,"China 21st century, rbgenr",0.88,
Artists' books Colombia 21st century. rbgenr,321,Artists' books Colombia 21st century. rbgenr,,Artists' books,"Colombia 21st century, rbgenr",0.88,
Artists' books Colorado 20th century. rbgenr,322,Artists' books Colorado 20th century. rbgenr,,Artists' books,"Colorado 20th century, rbgenr",0.88,
Artists' books Colorado Red Cliff 2015. rbgenr,323,Artists' books Colorado Red Cliff 2015. rbgenr,,Artists' books,"Colorado Red Cliff 2015, rbgenr",0.88,
Artists' books Colorado Red Cliff 2019. rbgenr,324,Artists' books Colorado Red Cliff 2019. rbgenr,,Artists' books,"Colorado Red Cliff 2019, rbgenr",0.88,
Artists' books Colorado Red Cliff. rbgenr,325,Artists' books Colorado Red Cliff. rbgenr,,Artists' books,"Colorado Red Cliff, rbgenr",0.88,
Artists' books Connecticut 2021. rbgenr,326,Artists' books Connecticut 2021. rbgenr,,Artists' books,"Connecticut 2021, rbgenr",0.88,
Artists' books Connecticut Stony Creek 1999. rbgenr,327,Artists' books Connecticut Stony Creek 1999. rbgenr,,Artists' books,"Connecticut Stony Creek 1999, rbgenr",0.88,
Artists' books Connecticut. rbgenr,328,Artists' books Connecticut. rbgenr,,Artists' books,"Connecticut, rbgenr",0.88,
Artists' books Cuba 2009. rbmscv,329,Artists' books Cuba 2009. rbmscv,,Artists' books,"Cuba 2009, rbmscv",0.88,
Artists' books Cuba Matanzas 21st century. rbgenr,330,Artists' books Cuba Matanzas 21st century. rbgenr,,Artists' books,"Cuba Matanzas 21st century, rbgenr",0.88,
Artists' books Cuba Matanzas. rbgenr,331,Artists' books Cuba Matanzas. rbgenr,,Artists' books,"Cuba Matanzas, rbgenr",0.88,
Artists' books Cuba. rbgenr,332,Artists' books Cuba. rbgenr,,Artists' books,"Cuba, rbgenr",0.88,
Artists' books England 2000. rbgenr,333,Artists' books England 2000. rbgenr,,Artists' books,"England 2000, rbgenr",0.88,
Artists' books England 2016 rbgenr,334,Artists' books England 2016 rbgenr,,Artists' books,"England 2016, rbgenr",0.88,
Artists' books England 20th century rbgenr,335,Artists' books England 20th century rbgenr,,Artists' books,"England 20th century, rbgenr",0.88,
