id	original	status	updated_term	extraneous_text	confidence	error	GenreTerms
303	Artists' books California Playa Vista 2010-2019. rbgenr		Artists' books	California Playa Vista 2010-2019, rbgenr	0.88		
304	Artists' books California San Diego 2021. rbgenr		Artists' books	California San Diego 2021, rbgenr	0.88		
305	Artists' books California San Diego 2021. rbmscv		Artists' books	California San Diego 2021, rbmscv	0.88		
306	Artists' books California San Francisco 1997. rbgenr		Artists' books	California San Francisco 1997, rbgenr	0.88		
307	Artists' books California San Francisco 2006. rbgenr		Artists' books	California San Francisco 2006, rbgenr	0.88		
308	Artists' books California San Francisco 2015. rbgenr		Artists' books	California San Francisco 2015, rbgenr	0.88		
309	Artists' books California San Francisco 2022. rbgenr		Artists' books	California San Francisco 2022, rbgenr	0.88		
310	Artists' books California San Francisco 21st century. rbgenr		Artists' books	California San Francisco 21st century, rbgenr	0.88		
311	Artists' books California Santa Cruz 1984. rbgenr		Artists' books	California Santa Cruz 1984, rbgenr	0.88		
312	Artists' books California Santa Cruz 1987. rbgenr		Artists' books	California Santa Cruz 1987, rbgenr	0.88		
313	Artists' books California Santa Cruz 2000. rbgenr		Artists' books	California Santa Cruz 2000, rbgenr	0.88		
314	Artists' books California Santa Cruz 2014. rbgenr		Artists' books	California Santa Cruz 2014, rbgenr	0.88		
315	Artists' books California Santa Cruz 21st century. rbgenr		Artists' books	California Santa Cruz 21st century, rbgenr	0.88		
316	Artists' books California Santa Cruz. rbgenr		Artists' books	California Santa Cruz, rbgenr	0.88		
317	Artists' books California Santa Rosa 1990. rbgenr		Artists' books	California Santa Rosa 1990, rbgenr	0.88		
318	Artists' books California Sebastopol. rbgenr		Artists' books	California Sebastopol, rbgenr	0.88		
319	Artists' books California. rbgenr		Artists' books	California, rbgenr	0.88		
320	Artists' books China 21st century. rbgenr		Artists' books	China 21st century, rbgenr	0.88		
321	Artists' books Colombia 21st century. rbgenr		Artists' books	Colombia 21st century, rbgenr	0.88		
322	Artists' books Colorado 20th century. rbgenr		Artists' books	Colorado 20th century, rbgenr	0.88		
323	Artists' books Colorado Red Cliff 2015. rbgenr		Artists' books	Colorado Red Cliff 2015, rbgenr	0.88		
324	Artists' books Colorado Red Cliff 2019. rbgenr		Artists' books	Colorado Red Cliff 2019, rbgenr	0.88		
325	Artists' books Colorado Red Cliff. rbgenr		Artists' books	Colorado Red Cliff, rbgenr	0.88		
326	Artists' books Connecticut 2021. rbgenr		Artists' books	Connecticut 2021, rbgenr	0.88		
327	Artists' books Connecticut Stony Creek 1999. rbgenr		Artists' books	Connecticut Stony Creek 1999, rbgenr	0.88		
328	Artists' books Connecticut. rbgenr		Artists' books	Connecticut, rbgenr	0.88		
329	Artists' books Cuba 2009. rbmscv		Artists' books	Cuba 2009, rbmscv	0.88		
330	Artists' books Cuba Matanzas 21st century. rbgenr		Artists' books	Cuba Matanzas 21st century, rbgenr	0.88		
331	Artists' books Cuba Matanzas. rbgenr		Artists' books	Cuba Matanzas, rbgenr	0.88		
332	Artists' books Cuba. rbgenr		Artists' books	Cuba, rbgenr	0.88		
333	Artists' books England 2000. rbgenr		Artists' books	England 2000, rbgenr	0.88		
334	Artists' books England 2016 rbgenr		Artists' books	England 2016, rbgenr	0.88		
335	Artists' books England 20th century rbgenr		Artists' books	England 20th century, rbgenr	0.88		
336	Artists' books England 21st century rbgenr		Artists' books	England 21st century, rbgenr	0.88		
337	Artists' books England 21st century. rbgenr		Artists' books	England 21st century, rbgenr	0.88		
338	Artists' books England London 1977. rbgenr		Artists' books	England London 1977, rbgenr	0.88		
339	Artists' books England London 2003. rbgenr		Artists' books	England London 2003, rbgenr	0.88		
340	Artists' books England London 2007. rbgenr		Artists' books	England London 2007, rbgenr	0.88		
341	Artists' books England London 2010. rbgenr		Artists' books	England London 2010, rbgenr	0.88		
342	Artists' books England London 2015. rbgenr		Artists' books	England London 2015, rbgenr	0.88		
343	Artists' books England London 2017. rbgenr		Artists' books	England London 2017, rbgenr	0.88		
344	Artists' books England London 2018. rbgenr		Artists' books	England London 2018, rbgenr	0.88		
345	Artists' books England London 21st century. rbgenr		Artists' books	England London 21st century, rbgenr	0.88		
346	Artists' books England London. rbgenr		Artists' books	England London, rbgenr	0.88		
347	Artists' books Florida 2022. rbgenr		Artists' books	Florida 2022, rbgenr	0.88		
348	Artists' books Florida 21st century. rbgenr		Artists' books	Florida 21st century, rbgenr	0.88		
349	Artists' books Florida Fort Lauderdale 2020. rbgenr		Artists' books	Florida Fort Lauderdale 2020, rbgenr	0.88		
350	Artists' books Florida Gainesville 2010. rbgenr		Artists' books	Florida Gainesville 2010, rbgenr	0.88		
351	Artists' books Florida Gainesville 2019. rbgenr		Artists' books	Florida Gainesville 2019, rbgenr	0.88		
352	Artists' books Florida Gainesville 2020. rbmscv		Artists' books	Florida Gainesville 2020, rbmscv	0.88		
353	Artists' books Florida Gainesville. rbgenr		Artists' books	Florida Gainesville, rbgenr	0.88		
354	Artists' books Florida Gainsville 2018. rbgenr		Artists' books	Florida Gainsville 2018, rbgenr	0.7	possible typo (Gainsville -> Gainesville)	
355	Artists' books Florida Miami 2015. rbgenr		Artists' books	Florida Miami 2015, rbgenr	0.88		
356	Artists' books Florida Saint Augustine 2021. rbgenr		Artists' books	Florida Saint Augustine 2021, rbgenr	0.88		
357	Artists' books Florida Sarasota. rbgenr		Artists' books	Florida Sarasota, rbgenr	0.88		
358	Artists' books Florida Tallahassee 2018. rbgenr		Artists' books	Florida Tallahassee 2018, rbgenr	0.88		
359	Artists' books Florida Tallahassee 2022. rbgenr		Artists' books	Florida Tallahassee 2022, rbgenr	0.88		
360	Artists' books Florida Tallahassee. rbgenr		Artists' books	Florida Tallahassee, rbgenr	0.88		
361	Artists' books Florida. rbgenr		Artists' books	Florida, rbgenr	0.88		
362	Artists' books France 21st century rbgenr		Artists' books	France 21st century, rbgenr	0.88		
363	Artists' books France 21st century. rbgenr		Artists' books	France 21st century, rbgenr	0.88		
364	Artists' books France Atelier Saint-Go 2014. rbgenr		Artists' books	France Atelier Saint-Go 2014, rbgenr	0.88		
365	Artists' books France Paris 2014. rbgenr		Artists' books	France Paris 2014, rbgenr	0.88		
366	Artists' books France. rbgenr		Artists' books	France, rbgenr	0.88		
367	Artists' books Georgia 1990-1999. rbgenr		Artists' books	Georgia 1990-1999, rbgenr	0.88		
368	Artists' books Georgia 1996. rbgenr		Artists' books	Georgia 1996, rbgenr	0.88		
369	Artists' books Georgia 2018. rbgenr		Artists' books	Georgia 2018, rbgenr	0.88		
370	Artists' books Georgia 20th century rbgenr		Artists' books	Georgia 20th century, rbgenr	0.88		
371	Artists' books Georgia 20th century. rbgenr		Artists' books	Georgia 20th century, rbgenr	0.88		
372	Artists' books Georgia Atlanta 1999. rbgenr		Artists' books	Georgia Atlanta 1999, rbgenr	0.88		
373	Artists' books Georgia Atlanta. rbgenr		Artists' books	Georgia Atlanta, rbgenr	0.88		
374	Artists' books Georgia. rbgenr		Artists' books	Georgia, rbgenr	0.88		
375	Artists' books Germany 20th century rbgenr		Artists' books	Germany 20th century, rbgenr	0.88		
376	Artists' books Germany 21st century. rbgenr		Artists' books	Germany 21st century, rbgenr	0.88		
377	Artists' books Germany Dessau 2001. rbgenr		Artists' books	Germany Dessau 2001, rbgenr	0.88		
378	Artists' books Germany Karlsruhe 2018. rbgenr		Artists' books	Germany Karlsruhe 2018, rbgenr	0.88		
379	Artists' books Great Britain 2001. rbgenr		Artists' books	Great Britain 2001, rbgenr	0.88		
380	Artists' books Great Britain London 2000. rbgenr		Artists' books	Great Britain London 2000, rbgenr	0.88		
381	Artists' books Illinois 20th century. rbgenr		Artists' books	Illinois 20th century, rbgenr	0.88		
382	Artists' books Illinois 21st century rbgenr		Artists' books	Illinois 21st century, rbgenr	0.88		
383	Artists' books Illinois 21st century. rbgenr		Artists' books	Illinois 21st century, rbgenr	0.88		
384	Artists' books Illinois Chicago 1985. rbgenr		Artists' books	Illinois Chicago 1985, rbgenr	0.88		
385	Artists' books Illinois Chicago 1999. rbgenr		Artists' books	Illinois Chicago 1999, rbgenr	0.88		
386	Artists' books Illinois Chicago 2011. rbgenr		Artists' books	Illinois Chicago 2011, rbgenr	0.88		
387	Artists' books Illinois Chicago 2016. rbgenr		Artists' books	Illinois Chicago 2016, rbgenr	0.88		
388	Artists' books Illinois Chicago 2017. rbgenr		Artists' books	Illinois Chicago 2017, rbgenr	0.88		
389	Artists' books Illinois Chicago 2019. rbgenr		Artists' books	Illinois Chicago 2019, rbgenr	0.88		
390	Artists' books Illinois Chicago 2022. rbgenr		Artists' books	Illinois Chicago 2022, rbgenr	0.88		
391	Artists' books Illinois Chicago. rbgenr		Artists' books	Illinois Chicago, rbgenr	0.88		
392	Artists' books Illinois Glenview 2018. rbgenr		Artists' books	Illinois Glenview 2018, rbgenr	0.88		
393	Artists' books Illinois. rbgenr		Artists' books	Illinois, rbgenr	0.88		
394	Artists' books India 21st century rbgenr		Artists' books	India 21st century, rbgenr	0.88		
395	Artists' books Indiana Bloomington 2017. rbgenr		Artists' books	Indiana Bloomington 2017, rbgenr	0.88		
396	Artists' books Iowa Iowa City 1990. rbgenr		Artists' books	Iowa Iowa City 1990, rbgenr	0.88		
397	Artists' books Iowa Iowa City 2012. rbgenr		Artists' books	Iowa Iowa City 2012, rbgenr	0.88		
398	Artists' books Iowa Iowa City 2013. rbgenr		Artists' books	Iowa Iowa City 2013, rbgenr	0.88		
399	Artists' books Iowa Iowa City 2014. rbgenr		Artists' books	Iowa Iowa City 2014, rbgenr	0.88		
400	Artists' books Ireland 21st century. rbgenr		Artists' books	Ireland 21st century, rbgenr	0.88		
401	Artists' books Italy . rbgenr		Artists' books	Italy, rbgenr	0.88		
402	Artists' books Italy 2007. rbgenr		Artists' books	Italy 2007, rbgenr	0.88		
403	Artists' books Italy 2010. rbgenr		Artists' books	Italy 2010, rbgenr	0.88		
404	Artists' books Italy 2011. rbgenr		Artists' books	Italy 2011, rbgenr	0.88		
405	Artists' books Italy 2013. rbgenr		Artists' books	Italy 2013, rbgenr	0.88		
406	Artists' books Italy 2013. rbmscv		Artists' books	Italy 2013, rbmscv	0.88		
407	Artists' books Italy 20th century. rbgenr		Artists' books	Italy 20th century, rbgenr	0.88		
408	Artists' books Italy Bologna 1991. rbgenr		Artists' books	Italy Bologna 1991, rbgenr	0.88		
409	Artists' books Italy Bologna 1992. rbgenr		Artists' books	Italy Bologna 1992, rbgenr	0.88		
410	Artists' books Italy Bologna 2012. rbgenr		Artists' books	Italy Bologna 2012, rbgenr	0.88		
411	Artists' books Italy Bologna 2013. rbgenr		Artists' books	Italy Bologna 2013, rbgenr	0.88		
412	Artists' books Italy Bologna 2016. rbgenr		Artists' books	Italy Bologna 2016, rbgenr	0.88		
413	Artists' books Italy Bologna 21st century. rbgenr		Artists' books	Italy Bologna 21st century, rbgenr	0.88		
414	Artists' books Italy Bologna. rbgenr		Artists' books	Italy Bologna, rbgenr	0.88		
415	Artists' books Japan Tokyo 2020. rbgenr		Artists' books	Japan Tokyo 2020, rbgenr	0.88		
416	Artists' books Korea 21st century. rbgenr		Artists' books	Korea 21st century, rbgenr	0.88		
417	Artists' books Latin America 2010-2019. rbgenr		Artists' books	Latin America 2010-2019, rbgenr	0.88		
418	Artists' books Latin America 21st century. rbgenr		Artists' books	Latin America 21st century, rbgenr	0.88		
419	Artists' books Latin America. rbgenr		Artists' books	Latin America, rbgenr	0.88		
420	Artists' books Lebanon 2010-2019. rbgenr		Artists' books	Lebanon 2010-2019, rbgenr	0.88		
421	Artists' books Luxembourg Luxembourg 2003. rbgenr		Artists' books	Luxembourg Luxembourg 2003, rbgenr	0.88		
422	Artists' books Maine Rockport. rbgenr		Artists' books	Maine Rockport, rbgenr	0.88		
423	Artists' books Maryland 1991. rbgenr		Artists' books	Maryland 1991, rbgenr	0.88		
424	Artists' books Maryland 2019. rbgenr		Artists' books	Maryland 2019, rbgenr	0.88		
425	Artists' books Massachusetts 1988. rbgenr		Artists' books	Massachusetts 1988, rbgenr	0.88		
426	Artists' books Massachusetts 20th century. rbgenr		Artists' books	Massachusetts 20th century, rbgenr	0.88		
427	Artists' books Massachusetts 21st century rbgenr		Artists' books	Massachusetts 21st century, rbgenr	0.88		
428	Artists' books Massachusetts Boston 2003. rbgenr		Artists' books	Massachusetts Boston 2003, rbgenr	0.88		
429	Artists' books Massachusetts Boston 2004. rbgenr		Artists' books	Massachusetts Boston 2004, rbgenr	0.88		
430	Artists' books Massachusetts Boston 2005. rbgenr		Artists' books	Massachusetts Boston 2005, rbgenr	0.88		
431	Artists' books Massachusetts Boston 2008. rbgenr		Artists' books	Massachusetts Boston 2008, rbgenr	0.88		
432	Artists books Massachusetts Boston 20th century. rbgenr		Artists' books	Massachusetts Boston 20th century, rbgenr	0.75	minor variant (Artists books -> Artists' books)	
433	Artists' books Massachusetts Boston. rbgenr		Artists' books	Massachusetts Boston, rbgenr	0.88		
434	Artists' books Massachusetts Somerville 2022. rbgenr		Artists' books	Massachusetts Somerville 2022, rbgenr	0.88		
435	Artists' books Massachusetts Somerville 21st century. rbgenr		Artists' books	Massachusetts Somerville 21st century, rbgenr	0.88		
436	Artists' books Massachusetts Somerville. rbgenr		Artists' books	Massachusetts Somerville, rbgenr	0.88		
437	Artists' books Massachusetts West Stockbridge 1998. rbgenr		Artists' books	Massachusetts West Stockbridge 1998, rbgenr	0.88		
438	Artists' books Massachusetts. rbgenr		Artists' books	Massachusetts, rbgenr	0.88		
439	Artists' books Mexico 2010-2019. rbgenr		Artists' books	Mexico 2010-2019, rbgenr	0.88		
440	Artists' books Mexico 21st century. rbgenr		Artists' books	Mexico 21st century, rbgenr	0.88		
441	Artists' books Mexico 21st century. rbmscv		Artists' books	Mexico 21st century, rbmscv	0.88		
442	Artists' books Mexico Guadalajara 2020. rbgenr		Artists' books	Mexico Guadalajara 2020, rbgenr	0.88		
443	Artists' books Mexico. rbgenr		Artists' books	Mexico, rbgenr	0.88		
444	Artists' books Minnesota 2011. rbgenr		Artists' books	Minnesota 2011, rbgenr	0.88		
445	Artists' books Minnesota Saint Paul 2018. rbgenr		Artists' books	Minnesota Saint Paul 2018, rbgenr	0.88		
446	Artists' books Minnesota St. Paul 2018. rbgenr		Artists' books	Minnesota St. Paul 2018, rbgenr	0.88		
447	Artists' books Mississippi Starkville 2009. rbgenr		Artists' books	Mississippi Starkville 2009, rbgenr	0.88		
448	Artists' books Netherlands 2020. rbgenr		Artists' books	Netherlands 2020, rbgenr	0.88		
449	Artists' books Netherlands 20th century. rbgenr		Artists' books	Netherlands 20th century, rbgenr	0.88		
450	Artists' books Netherlands 21st century. rbgenr		Artists' books	Netherlands 21st century, rbgenr	0.88		
451	Artists' books Netherlands Amsterdam 2016. rbgenr		Artists' books	Netherlands Amsterdam 2016, rbgenr	0.88		
452	Artists' books Nevada 2013. rbgenr		Artists' books	Nevada 2013, rbgenr	0.88		
453	Artists' books Nevada Reno 2016. rbgenr		Artists' books	Nevada Reno 2016, rbgenr	0.88		
454	Artists' books Nevada Reno. rbgenr		Artists' books	Nevada Reno, rbgenr	0.88		
455	Artists' books New Hampshire 2012. rbgenr		Artists' books	New Hampshire 2012, rbgenr	0.88		
456	Artists' books New Hampshire 21st century. rbgenr		Artists' books	New Hampshire 21st century, rbgenr	0.88		
457	Artists' books New Jersey 21st century. rbgenr		Artists' books	New Jersey 21st century, rbgenr	0.88		
458	Artists' books New Jersey Plainsboro 2004. rbgenr		Artists' books	New Jersey Plainsboro 2004, rbgenr	0.88		
459	Artists' books New Mexico Santa Fe. rbgenr		Artists' books	New Mexico Santa Fe, rbgenr	0.88		
460	Artists' books New York (N.Y.) 1990. rbgenr		Artists' books	New York (N.Y.) 1990, rbgenr	0.88		
461	Artists' books New York (New York State) Brooklyn 2010. rbgenr		Artists' books	New York (State) Brooklyn 2010, rbgenr	0.88		
462	Artists' books New York (State) 1979. rbgenr		Artists' books	New York (State) 1979, rbgenr	0.88		
463	Artists' books New York (State) 1983. rbgenr		Artists' books	New York (State) 1983, rbgenr	0.88		
464	Artists' books New York (State) 1991. rbgenr		Artists' books	New York (State) 1991, rbgenr	0.88		
465	Artists' books New York (State) 1993. rbgenr		Artists' books	New York (State) 1993, rbgenr	0.88		
466	Artists' books New York (State) 1997. rbgenr		Artists' books	New York (State) 1997, rbgenr	0.88		
467	Artists' books New York (State) 1999. rbgenr		Artists' books	New York (State) 1999, rbgenr	0.88		
468	Artists' books New York (State) 2017. rbgenr		Artists' books	New York (State) 2017, rbgenr	0.88		
469	Artists' books New York (State) 2018. rbgenr		Artists' books	New York (State) 2018, rbgenr	0.88		
470	Artists' books New York (State) 2019. rbgenr		Artists' books	New York (State) 2019, rbgenr	0.88		
471	Artists' books New York (State) 2020. rbgenr		Artists' books	New York (State) 2020, rbgenr	0.88		
