id,655 - Local Param 04,status,updated_term,extraneous_text,confidence,error
312,books England London 2001. rbgenr,matched,Books,England London 2001; rbgenr,0.75,
313,books England London 21st century. rbgenr,matched,Books,England London 21st century; rbgenr,0.75,
314,books England London. rbgenr,matched,Books,England London; rbgenr,0.75,
315,books Florida Dania Beach. rbgenr,matched,Books,Florida Dania Beach; rbgenr,0.75,
316,books Florida Gainesville 2015. rbgenr,matched,Books,Florida Gainesville 2015; rbgenr,0.75,
317,books Florida Gainesville 21st century. rbgenr,matched,Books,Florida Gainesville 21st century; rbgenr,0.75,
318,books Florida Tallahassee 2013. rbgenr,matched,Books,Florida Tallahassee 2013; rbgenr,0.75,
319,books France 21st century. rbgenr,matched,Books,France 21st century; rbgenr,0.75,
320,books Georgia 2021. rbgenr,matched,Books,Georgia 2021; rbgenr,0.75,
321,books Georgia Atlanta. rbgenr,matched,Books,Georgia Atlanta; rbgenr,0.75,
322,books Georgia. rbgenr,matched,Books,Georgia; rbgenr,0.75,
323,books Germany 2015. rbgenr,matched,Books,Germany 2015; rbgenr,0.75,
324,books Germany 2017. rbgenr,matched,Books,Germany 2017; rbgenr,0.75,
325,books Germany 2019. rbgenr,matched,Books,Germany 2019; rbgenr,0.75,
326,books Germany 21st century. rbgenr,matched,Books,Germany 21st century; rbgenr,0.75,
327,books Germany Cologne 1970. rbgenr,matched,Books,Germany Cologne 1970; rbgenr,0.75,
328,books Illinois 2000-2009. rbgenr,matched,Books,Illinois 2000-2009; rbgenr,0.75,
329,books Illinois Chicago 2013. rbgenr,matched,Books,Illinois Chicago 2013; rbgenr,0.75,
330,books Illinois. rbgenr,matched,Books,Illinois; rbgenr,0.75,
331,books India. rbgenr,matched,Books,India; rbgenr,0.75,
332,books Ireland. rbgenr,matched,Books,Ireland; rbgenr,0.75,
333,books Italy 1985. rbgenr,matched,Books,Italy 1985; rbgenr,0.75,
334,books Italy 2019. rbgenr,matched,Books,Italy 2019; rbgenr,0.75,
335,books Italy Bologna 1989. rbgenr,matched,Books,Italy Bologna 1989; rbgenr,0.75,
336,books Italy Bologna 1998. rbgenr,matched,Books,Italy Bologna 1998; rbgenr,0.75,
337,books Italy Bologna. rbgenr,matched,Books,Italy Bologna; rbgenr,0.75,
338,books Italy. rbgenr,matched,Books,Italy; rbgenr,0.75,
339,books Japan 21st century. rbgenr,matched,Books,Japan 21st century; rbgenr,0.75,
340,books Japan Kitakyushu 1999. rbgenr,matched,Books,Japan Kitakyushu 1999; rbgenr,0.75,
341,books Maryland Silver Spring. rbgenr,matched,Books,Maryland Silver Spring; rbgenr,0.75,
342,books Massachusetts Boston 2005. rbgenr,matched,Books,Massachusetts Boston 2005; rbgenr,0.75,
343,books Massachusetts Boston 2012. rbgenr,matched,Books,Massachusetts Boston 2012; rbgenr,0.75,
344,books Massachusetts Boston 2014. rbgenr,matched,Books,Massachusetts Boston 2014; rbgenr,0.75,
345,books Massachusetts Northampton 2021. rbgenr,matched,Books,Massachusetts Northampton 2021; rbgenr,0.75,
346,books Massachusetts Somerville 2015. rbgenr,matched,Books,Massachusetts Somerville 2015; rbgenr,0.75,
347,books Mexico 2010-2019. rbgenr,matched,Books,Mexico 2010-2019; rbgenr,0.75,
348,books Mexico 21st century. rbgenr,matched,Books,Mexico 21st century; rbgenr,0.75,
349,books Mexico Cuernavaca. rbgenr,matched,Books,Mexico Cuernavaca; rbgenr,0.75,
350,books Michigan Ann Arbor 2019. rbgenr,matched,Books,Michigan Ann Arbor 2019; rbgenr,0.75,
351,books Minnesota Minneapolis 2011. rbgenr,matched,Books,Minnesota Minneapolis 2011; rbgenr,0.75,
352,books New Jersey Plainsboro 2003. rbgenr,matched,Books,New Jersey Plainsboro 2003; rbgenr,0.75,
353,books New Jersey Plainsboro. rbgenr,matched,Books,New Jersey Plainsboro; rbgenr,0.75,
354,books New York (State) 2018. rbgenr,matched,Books,New York (State) 2018; rbgenr,0.75,
355,books New York (State) 2019. rbgenr,matched,Books,New York (State) 2019; rbgenr,0.75,
356,books New York (State) 2020. rbgenr,matched,Books,New York (State) 2020; rbgenr,0.75,
357,books New York (state) 20th century rbgenr,matched,Books,New York (State) 20th century; rbgenr,0.75,
358,books New York (State) 20th century. rbgenr,matched,Books,New York (State) 20th century; rbgenr,0.75,
359,books New York (State) 21st century rbgenr,matched,Books,New York (State) 21st century; rbgenr,0.75,
360,books New York (State) New York 1975. rbgenr,matched,Books,New York (State) New York 1975; rbgenr,0.75,
361,books New York (State) New York 1977. rbgenr,matched,Books,New York (State) New York 1977; rbgenr,0.75,
362,books New York (State) New York 1978. rbgenr,matched,Books,New York (State) New York 1978; rbgenr,0.75,
363,books New York (State) New York 2000. rbgenr,matched,Books,New York (State) New York 2000; rbgenr,0.75,
364,books New York (State) New York 2003. rbgenr,matched,Books,New York (State) New York 2003; rbgenr,0.75,
365,books New York (State) New York 2008. rbgenr,matched,Books,New York (State) New York 2008; rbgenr,0.75,
366,books New York (State) New York 2013 rbgenr,matched,Books,New York (State) New York 2013; rbgenr,0.75,
367,books New York (State) New York 2014. rbgenr,matched,Books,New York (State) New York 2014; rbgenr,0.75,
368,books New York (State) New York 2015. rbgenr,matched,Books,New York (State) New York 2015; rbgenr,0.75,
369,books New York (State) New York 2016. rbgenr,matched,Books,New York (State) New York 2016; rbgenr,0.75,
370,books New York (State) New York 2019. rbgenr,matched,Books,New York (State) New York 2019; rbgenr,0.75,
371,books New York (State) New York. rbgenr,matched,Books,New York (State) New York; rbgenr,0.75,
372,books New York (State) rbgenr,matched,Books,New York (State); rbgenr,0.75,
373,books New York (State) Rochester 1993. rbgenr,matched,Books,New York (State) Rochester 1993; rbgenr,0.75,
374,books New York (State) Rochester. rbgenr,matched,Books,New York (State) Rochester; rbgenr,0.75,
375,books New York (State) Rosendale 1981. rbgenr,matched,Books,New York (State) Rosendale 1981; rbgenr,0.75,
376,books New York (State) Rosendale 2019. rbgenr,matched,Books,New York (State) Rosendale 2019; rbgenr,0.75,
377,books New York (State) Rosendale. rbgenr,matched,Books,New York (State) Rosendale; rbgenr,0.75,
378,books New York Pleasantville 2021. rbgenr,matched,Books,New York Pleasantville 2021; rbgenr,0.75,
379,books Nicaragua 21st century. rbgenr,matched,Books,Nicaragua 21st century; rbgenr,0.75,
380,books North Carolina 2016. rbgenr,matched,Books,North Carolina 2016; rbgenr,0.75,
381,books Nova Scotia Halifax 1979. rbgenr,matched,Books,Nova Scotia Halifax 1979; rbgenr,0.75,
382,books Ontario Toronto 2017. rbgenr,matched,Books,Ontario Toronto 2017; rbgenr,0.75,
383,books Oregon Portland 2008. rbgenr,matched,Books,Oregon Portland 2008; rbgenr,0.75,
384,books Pennsylvania Philadelphia 2014. rbgenr,matched,Books,Pennsylvania Philadelphia 2014; rbgenr,0.75,
385,books Pennsylvania Philadelphia 2019. rbgenr,matched,Books,Pennsylvania Philadelphia 2019; rbgenr,0.75,
386,books rbgenr,matched,Books,rbgenr,0.75,
387,books Rhode Island Providence 2017. rbgenr,matched,Books,Rhode Island Providence 2017; rbgenr,0.75,
388,books Switzerland 21st century. rbgenr,matched,Books,Switzerland 21st century; rbgenr,0.75,
389,books Texas 2018. rbgenr,matched,Books,Texas 2018; rbgenr,0.75,
390,books United States 2021. rbgenr,matched,Books,United States 2021; rbgenr,0.75,
391,books United States 21st century. rbgenr,matched,Books,United States 21st century; rbgenr,0.75,
392,books United States. rbgenr,matched,Books,United States; rbgenr,0.75,
393,books United States. rbgenr CtHT,matched,Books,"United States; rbgenr, CtHT",0.7,
394,books Washington (D.C.) rbgenr,matched,Books,Washington (D.C.); rbgenr,0.75,
395,books Washington (State) Seattle 2013. rbgenr,matched,Books,Washington (State) Seattle 2013; rbgenr,0.75,
396,books Washington (State) Tacoma. rbgenr,matched,Books,Washington (State) Tacoma; rbgenr,0.75,
397,books Wisconsin 2010-2019. rbgenr,matched,Books,Wisconsin 2010-2019; rbgenr,0.75,
398,books Wisconsin 2011. rbgenr,matched,Books,Wisconsin 2011; rbgenr,0.75,
399,books. rbgenr,matched,Books,rbgenr,1,
400,books. rbgenr CtHT,matched,Books,"rbgenr, CtHT",0.9,
401,(Geographic) 1868. rbgenr,no_match,,(Geographic) 1868; rbgenr,0,qualifier-only / fragment ??? no RBMS term
402,(Geographic) rbgenr,no_match,,(Geographic); rbgenr,0,qualifier-only ??? no term
403,(Scientific) rbgenr,no_match,,(Scientific); rbgenr,0,qualifier-only ??? no term
404,catalogues Books. rbgenr,matched,Catalogs,Books; rbgenr,0.85,mapped to 'Catalogs' (catalogues variant)
405,autographs (Provenance) Knudson 2015. rbprov,matched,Authors' autographs,(Provenance) Knudson 2015; rbprov,0.9,
406,autographs (Provenance) rbgenr,matched,Authors' autographs,(Provenance); rbgenr,0.95,
407,autographs (Provenance) rbprov MMeT,matched,Authors' autographs,"(Provenance); rbprov, MMeT",0.95,
408,presentation copies. rbgenr,matched,Presentation copies,rbgenr,1,
409,presentation inscriptions (Provenance) 20th century. rbgenr,matched,Presentation inscriptions,(Provenance) 20th century; rbgenr,0.9,
410,presentation inscriptions (Provenance) 20th century. rbprov MMeT,matched,Presentation inscriptions,"(Provenance) 20th century; rbprov, MMeT",0.9,
411,presentation inscriptions (Provenance) rbprov MMeT,matched,Presentation inscriptions,"(Provenance); rbprov, MMeT",0.95,
412,presentation inscriptions. rbmscv MMeT,matched,Presentation inscriptions,"rbmscv, MMeT",0.92,
413,1889. rbgenr,no_match,,1889; rbgenr,0,date-only ??? no RBMS term
414,1989. rbgenr,no_match,,1989; rbgenr,0,date-only ??? no RBMS term
415,20th century. rbgenr,no_match,,20th century; rbgenr,0,date-only ??? no RBMS term
416,France 20th century. rbgenr,no_match,,France 20th century; rbgenr,0,place/date only ??? no term
417,Ireland 20th century. rbgenr,no_match,,Ireland 20th century; rbgenr,0,
418,Massachusetts Boston 19th century. rbgenr,no_match,,Massachusetts Boston 19th century; rbgenr,0,
419,(Provenance) rbprov MMeT,no_match,,"(Provenance); rbprov, MMeT",0,provenance qualifier only
420,addresses 1765. rbgenr,no_match,,addresses 1765; rbgenr,0,date-only addresses ??? no RBMS term
421,addresses 1769. rbgenr,no_match,,addresses 1769; rbgenr,0,
422,addresses 1797. rbgenr,no_match,,addresses 1797; rbgenr,0,
423,stories New York (N.Y.) 1987. rbgenr,matched,Narratives,Stories; New York (N.Y.) 1987; rbgenr,0.65,mapped broadly to 'Narratives' (low confidence)
424,rbgenr,no_match,,rbgenr,0,
425,rbgenr,no_match,,rbgenr,0,
426,errors (Binding) rbbin MMeT,matched,Binding errors,"(Binding); rbbin, MMeT",0.95,
427,fiction 1929. rbgenr,matched,Fiction,1929; rbgenr,0.95,
428,fiction. rbgenr,matched,Fiction,rbgenr,1,
429,1853. rbgenr,no_match,,1853; rbgenr,0,
430,1940. rbgenr,no_match,,1940; rbgenr,0,
431,19th century. rbgenr,no_match,,19th century; rbgenr,0,
432,20th century. rbgenr,no_match,,20th century; rbgenr,0,
433,United States 19th century. rbgenr,no_match,,United States 19th century; rbgenr,0,
434,rbgenr,no_match,,rbgenr,0,
435,rbgenr E8W,no_match,,"rbgenr, E8W",0,
436,letter types. rbtyp,matched,Letterpress types,rbtyp,0.9,
437,forms. rbgenr,no_match,,forms; rbgenr,0,
438,tooled bindings (Binding) 16th century. rbbin MMeT,matched,Gold tooled bindings,"(Binding) 16th century; rbbin, MMeT",0.9,mapped to specific 'Gold tooled bindings' as representative tooled binding term
439,tooled bindings (Binding) 17th century. rbbin MMeT,matched,Gold tooled bindings,"(Binding) 17th century; rbbin, MMeT",0.9,
440,tooled bindings (Binding) 18th century. rbbin MMeT,matched,Gold tooled bindings,"(Binding) 18th century; rbbin, MMeT",0.9,
441,tooled bindings (Binding) England 18th century. rbbin MMeT,matched,Gold tooled bindings,"(Binding) England 18th century; rbbin, MMeT",0.88,
442,tooled bindings (Binding) England. rbbin MMeT,matched,Gold tooled bindings,"(Binding) England; rbbin, MMeT",0.88,
443,tooled bindings (Binding) Germany 16th century. rbbin MMeT,matched,Gold tooled bindings,"(Binding) Germany 16th century; rbbin, MMeT",0.88,
444,tooled bindings (Binding) Germany 17th century. rbbin MMeT,matched,Gold tooled bindings,"(Binding) Germany 17th century; rbbin, MMeT",0.88,
445,tooled bindings (Binding) rbbin MMeT,matched,Gold tooled bindings,"(Binding); rbbin, MMeT",0.9,
446,(Binding) 18th century. rbbin MMeT,no_match,,"(Binding) 18th century; rbbin, MMeT",0,qualifier-only / ambiguous
447,prices (Publishing) England 1919. rbpub,matched,Prices (Publishing),England 1919; rbpub,0.95,
448,prices (Publishing) United States 20th century. rbpub,matched,Prices (Publishing),United States 20th century; rbpub,0.95,
449,prospectuses New York (State) New York 1930. rbgenr,matched,Prospectuses,New York (State) New York 1930; rbgenr,0.9,
450,prospectuses. rbgenr NNC,matched,Prospectuses,"rbgenr, NNC",0.8,
451,rbgenr,no_match,,rbgenr,0,
452,(Provenance) rbbin MMeT,no_match,,"(Provenance); rbbin, MMeT",0,
453,(Provenance) rbgenr (local)919472,no_match,,(Provenance); rbgenr (local)919472,0,
454,(Provenance) rbprov MMeT,no_match,,"(Provenance); rbprov, MMeT",0,
455,for the visually impaired U.S.A. 1801-1900. rbgenr,matched,Books for the visually impaired,U.S.A. 1801-1900; rbgenr,0.85,
456,issued in fascicles (Publishing) Original fascicles. rbpub,matched,Part-issued books in volume form,(Publishing) Original fascicles; rbpub,0.9,
457,advertisements Connecticut Danbury. rbgenr,matched,Booksellers' advertisements,Connecticut Danbury; rbgenr,0.95,
458,advertisements Connecticut New Haven. rbgenr,matched,Booksellers' advertisements,Connecticut New Haven; rbgenr,0.95,
459,advertisements Connecticut New London. rbgenr,matched,Booksellers' advertisements,Connecticut New London; rbgenr,0.95,
460,advertisements Connecticut Norwich. rbgenr,matched,Booksellers' advertisements,Connecticut Norwich; rbgenr,0.95,
461,advertisements Delaware Wilmington. rbgenr,matched,Booksellers' advertisements,Delaware Wilmington; rbgenr,0.95,
462,advertisements England 17th century. rbgenr,matched,Booksellers' advertisements,England 17th century; rbgenr,0.95,
463,advertisements Great Britain 18th century. rbgenr,matched,Booksellers' advertisements,Great Britain 18th century; rbgenr,0.95,
464,advertisements Maryland Baltimore. rbgenr,matched,Booksellers' advertisements,Maryland Baltimore; rbgenr,0.95,
465,advertisements Massachusetts Boston. rbgenr,matched,Booksellers' advertisements,Massachusetts Boston; rbgenr,0.95,
466,advertisements Massachusetts Newburyport. rbgenr,matched,Booksellers' advertisements,Massachusetts Newburyport; rbgenr,0.95,
467,advertisements Massachusetts Worcester. rbgenr,matched,Booksellers' advertisements,Massachusetts Worcester; rbgenr,0.95,
468,advertisements New Hampshire Exeter. rbgenr,matched,Booksellers' advertisements,New Hampshire Exeter; rbgenr,0.95,
469,advertisements New Hampshire Portsmouth. rbgenr,matched,Booksellers' advertisements,New Hampshire Portsmouth; rbgenr,0.95,
470,advertisements New York (State) Albany. rbgenr,matched,Booksellers' advertisements,New York (State) Albany; rbgenr,0.95,
471,advertisements New York (State) New York. rbgenr,matched,Booksellers' advertisements,New York (State) New York; rbgenr,0.95,
472,advertisements New York (State) Troy. rbgenr,matched,Booksellers' advertisements,New York (State) Troy; rbgenr,0.95,
473,advertisements New York 19th century. rbgenr,matched,Booksellers' advertisements,New York 19th century; rbgenr,0.9,
474,advertisements Pennsylvania 18th century. rbgenr,matched,Booksellers' advertisements,Pennsylvania 18th century; rbgenr,0.95,
475,advertisements Pennsylvania 19th century. rbgenr,matched,Booksellers' advertisements,Pennsylvania 19th century; rbgenr,0.95,
476,advertisements Pennsylvania Philadelphia. rbgenr,matched,Booksellers' advertisements,Pennsylvania Philadelphia; rbgenr,0.95,
477,advertisements. rbgenr,matched,Booksellers' advertisements,rbgenr,1,
478,catalogs England London 1930. rbgenr,matched,Catalogs,England London 1930; rbgenr,1,
479,catalogs England London 1931. rbgenr,matched,Catalogs,England London 1931; rbgenr,1,
480,catalogs England London 1935. rbgenr,matched,Catalogs,England London 1935; rbgenr,1,
481,catalogs Italy Milan 1949. rbgenr,matched,Catalogs,Italy Milan 1949; rbgenr,1,
482,catalogs Italy Milan 1953. rbgenr,matched,Catalogs,Italy Milan 1953; rbgenr,1,
483,catalogs New York (State) New York 1930. rbgenr,matched,Catalogs,New York (State) New York 1930; rbgenr,1,
484,catalogs New York (State) New York 1958. rbgenr,matched,Catalogs,New York (State) New York 1958; rbgenr,1,
485,catalogs New York (State) New York 1962. rbgenr,matched,Catalogs,New York (State) New York 1962; rbgenr,1,
486,catalogs. rbgenr,matched,Catalogs,rbgenr,1,
487,catalogue Maryland Baltimore. rbgenr,matched,Catalogs,Maryland Baltimore; rbgenr,0.9,
488,catalogues Massachusetts Boston. rbgenr,matched,Catalogs,Massachusetts Boston; rbgenr,0.9,
489,catalogues New York (State) New York. rbgenr,matched,Catalogs,New York (State) New York; rbgenr,0.9,
490,catalogues Pennsylvania Philadelphia. rbgenr,matched,Catalogs,Pennsylvania Philadelphia; rbgenr,0.9,
491,catalogues Rhode Island Providence. rbgenr,matched,Catalogs,Rhode Island Providence; rbgenr,0.9,
492,labels (Provenance) rbprov MMeT,no_match,,"labels (Provenance); rbprov, MMeT",0,qualifier-like provenance only ??? no RBMS term exactly 'labels' present
493,labels (Publishing) rbpub PPT,no_match,,"labels (Publishing); rbpub, PPT",0,ambiguous / qualifier-only
494,format. rbpri,no_match,,format; rbpri,0,qualifier-only ??? no RBMS term 'format' alone
495,poems California San Francisco 20th century. rbgenr,matched,Poems,California San Francisco 20th century; rbgenr,0.95,
496,poems. rbgenr,matched,Poems,rbgenr,1,
497,England London 18th century. rbgenr,no_match,,England London 18th century; rbgenr,0,
498,rbgenr,no_match,,rbgenr,0,
499,New York (State) New York 1996. rbgenr,no_match,,New York (State) New York 1996; rbgenr,0,
500,bindings (Binding) 17th century. rbbin MMeT,matched,Bindings (Provenance),"(Binding) 17th century; rbbin, MMeT",0.8,broad mapping to bindings/binding-related vocabulary
501,bindings (Binding) 18th century. rbbin MMeT,matched,Bindings (Provenance),"(Binding) 18th century; rbbin, MMeT",0.8,
502,bindings (Binding) England London 18th century rbbin MMeT,matched,Bindings (Provenance),"(Binding) England London 18th century; rbbin, MMeT",0.8,
503,bindings (Binding) rbbin,matched,Bindings (Provenance),(Binding); rbbin,0.9,
504,bindings (Binding) rbbin MMeT,matched,Bindings (Provenance),"(Binding); rbbin, MMeT",0.9,
505,bindings (Binding). rbbin MMeT,matched,Bindings (Provenance),"rbbin, MMeT",0.85,
506,bindings (Bindings) rbbin MMeT,matched,Bindings (Provenance),"(Bindings); rbbin, MMeT",0.85,
507,bindings (Bindings). rbbin MMeT,matched,Bindings (Provenance),"rbbin, MMeT",0.85,
508,literature 1852. rbgenr,matched,Literature,1852; rbgenr,0.6,
509,literature 1860 United States. rbgenr,matched,Literature,United States 1860; rbgenr,0.6,
